corner,wn_store,wp_store,wn_access,temp,vdd,polarity,qcrit_fC
tt,1.2e-07,3.2e-07,1.2e-07,125,1.2,1,1.31563e-14
tt,1.2e-07,3.2e-07,1.2e-07,125,1.2,0,7.71875e-15
tt,1.6e-07,1.2e-07,1.2e-07,-40,1,1,8.65625e-15
tt,1.6e-07,1.2e-07,1.2e-07,-40,1,0,1.67187e-14
tt,1.6e-07,1.2e-07,1.2e-07,-40,1.05,1,8.65625e-15
tt,1.6e-07,1.2e-07,1.2e-07,-40,1.05,0,1.67187e-14
tt,1.6e-07,1.2e-07,1.2e-07,-40,1.1,1,8.65625e-15
tt,1.6e-07,1.2e-07,1.2e-07,-40,1.1,0,1.67187e-14
tt,1.6e-07,1.2e-07,1.2e-07,-40,1.15,1,8.65625e-15
tt,1.6e-07,1.2e-07,1.2e-07,-40,1.15,0,1.67187e-14
tt,1.6e-07,1.2e-07,1.2e-07,-40,1.2,1,8.65625e-15
tt,1.6e-07,1.2e-07,1.2e-07,-40,1.2,0,1.67187e-14
tt,1.6e-07,1.2e-07,1.2e-07,0,1,1,7.90625e-15
tt,1.6e-07,1.2e-07,1.2e-07,0,1,0,1.42813e-14
tt,1.6e-07,1.2e-07,1.2e-07,0,1.05,1,7.90625e-15
tt,1.6e-07,1.2e-07,1.2e-07,0,1.05,0,1.42813e-14
tt,1.6e-07,1.2e-07,1.2e-07,0,1.1,1,7.90625e-15
tt,1.6e-07,1.2e-07,1.2e-07,0,1.1,0,1.42813e-14
tt,1.6e-07,1.2e-07,1.2e-07,0,1.15,1,7.90625e-15
tt,1.6e-07,1.2e-07,1.2e-07,0,1.15,0,1.42813e-14
tt,1.6e-07,1.2e-07,1.2e-07,0,1.2,1,7.90625e-15
tt,1.6e-07,1.2e-07,1.2e-07,0,1.2,0,1.42813e-14
tt,1.6e-07,1.2e-07,1.2e-07,27,1,1,7.34375e-15
tt,1.6e-07,1.2e-07,1.2e-07,27,1,0,1.29688e-14
tt,1.6e-07,1.2e-07,1.2e-07,27,1.05,1,7.34375e-15
tt,1.6e-07,1.2e-07,1.2e-07,27,1.05,0,1.29688e-14
tt,1.6e-07,1.2e-07,1.2e-07,27,1.1,1,7.34375e-15
tt,1.6e-07,1.2e-07,1.2e-07,27,1.1,0,1.29688e-14
tt,1.6e-07,1.2e-07,1.2e-07,27,1.15,1,7.34375e-15
tt,1.6e-07,1.2e-07,1.2e-07,27,1.15,0,1.29688e-14
tt,1.6e-07,1.2e-07,1.2e-07,27,1.2,1,7.34375e-15
tt,1.6e-07,1.2e-07,1.2e-07,27,1.2,0,1.29688e-14
tt,1.6e-07,1.2e-07,1.2e-07,85,1,1,6.40625e-15
tt,1.6e-07,1.2e-07,1.2e-07,85,1,0,1.05312e-14
tt,1.6e-07,1.2e-07,1.2e-07,85,1.05,1,6.40625e-15
tt,1.6e-07,1.2e-07,1.2e-07,85,1.05,0,1.05312e-14
tt,1.6e-07,1.2e-07,1.2e-07,85,1.1,1,6.40625e-15
tt,1.6e-07,1.2e-07,1.2e-07,85,1.1,0,1.05312e-14
tt,1.6e-07,1.2e-07,1.2e-07,85,1.15,1,6.40625e-15
tt,1.6e-07,1.2e-07,1.2e-07,85,1.15,0,1.05312e-14
tt,1.6e-07,1.2e-07,1.2e-07,85,1.2,1,6.40625e-15
tt,1.6e-07,1.2e-07,1.2e-07,85,1.2,0,1.05312e-14
tt,1.6e-07,1.2e-07,1.2e-07,125,1,1,5.84375e-15
tt,1.6e-07,1.2e-07,1.2e-07,125,1,0,9.21875e-15
tt,1.6e-07,1.2e-07,1.2e-07,125,1.05,1,5.84375e-15
tt,1.6e-07,1.2e-07,1.2e-07,125,1.05,0,9.21875e-15
tt,1.6e-07,1.2e-07,1.2e-07,125,1.1,1,5.84375e-15
tt,1.6e-07,1.2e-07,1.2e-07,125,1.1,0,9.21875e-15
tt,1.6e-07,1.2e-07,1.2e-07,125,1.15,1,5.84375e-15
tt,1.6e-07,1.2e-07,1.2e-07,125,1.15,0,9.21875e-15
tt,1.6e-07,1.2e-07,1.2e-07,125,1.2,1,5.84375e-15
tt,1.6e-07,1.2e-07,1.2e-07,125,1.2,0,9.21875e-15
