V (V),Q vs QB (V),V (V),QB vs Q (V)
418.0E-3,1.086,1.086,418.0E-3
420.0E-3,1.085,1.085,420.0E-3
422.0E-3,1.085,1.085,422.0E-3
424.0E-3,1.084,1.084,424.0E-3
426.0E-3,1.083,1.083,426.0E-3
428.0E-3,1.082,1.082,428.0E-3
430.0E-3,1.081,1.081,430.0E-3
432.0E-3,1.080,1.080,432.0E-3
434.0E-3,1.079,1.079,434.0E-3
436.0E-3,1.078,1.078,436.0E-3
438.0E-3,1.076,1.076,438.0E-3
440.0E-3,1.075,1.075,440.0E-3
442.0E-3,1.074,1.074,442.0E-3
444.0E-3,1.072,1.072,444.0E-3
446.0E-3,1.070,1.070,446.0E-3
448.0E-3,1.069,1.069,448.0E-3
450.0E-3,1.067,1.067,450.0E-3
452.0E-3,1.065,1.065,452.0E-3
454.0E-3,1.063,1.063,454.0E-3
456.0E-3,1.060,1.060,456.0E-3
458.0E-3,1.058,1.058,458.0E-3
460.0E-3,1.055,1.055,460.0E-3
462.0E-3,1.052,1.052,462.0E-3
464.0E-3,1.048,1.048,464.0E-3
466.0E-3,1.045,1.045,466.0E-3
468.0E-3,1.040,1.040,468.0E-3
470.0E-3,1.036,1.036,470.0E-3
472.0E-3,1.030,1.030,472.0E-3
474.0E-3,1.024,1.024,474.0E-3
476.0E-3,1.017,1.017,476.0E-3
478.0E-3,1.008,1.008,478.0E-3
480.0E-3,997.3E-3,997.3E-3,480.0E-3
482.0E-3,984.1E-3,984.1E-3,482.0E-3
484.0E-3,967.5E-3,967.5E-3,484.0E-3
486.0E-3,947.2E-3,947.2E-3,486.0E-3
488.0E-3,922.9E-3,922.9E-3,488.0E-3
490.0E-3,895.0E-3,895.0E-3,490.0E-3
492.0E-3,864.1E-3,864.1E-3,492.0E-3
494.0E-3,830.6E-3,830.6E-3,494.0E-3
496.0E-3,795.2E-3,795.2E-3,496.0E-3
498.0E-3,758.3E-3,758.3E-3,498.0E-3
500.0E-3,720.2E-3,720.2E-3,500.0E-3
502.0E-3,681.4E-3,681.4E-3,502.0E-3
504.0E-3,642.3E-3,642.3E-3,504.0E-3
506.0E-3,603.4E-3,603.4E-3,506.0E-3
508.0E-3,564.9E-3,564.9E-3,508.0E-3
