wn_store,wp_store,wn_access,temp,leakage_power_W
2.8e-07,1.6e-07,1.2e-07,85,1.75014e-10
2.8e-07,1.6e-07,1.2e-07,125,3.73723e-10
2.8e-07,2e-07,1.2e-07,-40,7.54982e-11
2.8e-07,2e-07,1.2e-07,0,7.9788e-11
2.8e-07,2e-07,1.2e-07,27,9.01125e-11
2.8e-07,2e-07,1.2e-07,85,1.83196e-10
2.8e-07,2e-07,1.2e-07,125,3.85733e-10
2.8e-07,2.4e-07,1.2e-07,-40,8.21937e-11
2.8e-07,2.4e-07,1.2e-07,0,8.6561e-11
2.8e-07,2.4e-07,1.2e-07,27,9.70483e-11
2.8e-07,2.4e-07,1.2e-07,85,1.92013e-10
2.8e-07,2.4e-07,1.2e-07,125,3.99669e-10
2.8e-07,2.8e-07,1.2e-07,-40,8.88872e-11
2.8e-07,2.8e-07,1.2e-07,0,9.33403e-11
2.8e-07,2.8e-07,1.2e-07,27,1.04016e-10
2.8e-07,2.8e-07,1.2e-07,85,2.01133e-10
2.8e-07,2.8e-07,1.2e-07,125,4.14526e-10
2.8e-07,3.2e-07,1.2e-07,-40,9.55217e-11
2.8e-07,3.2e-07,1.2e-07,0,1.00063e-10
2.8e-07,3.2e-07,1.2e-07,27,1.10944e-10
2.8e-07,3.2e-07,1.2e-07,85,2.10435e-10
2.8e-07,3.2e-07,1.2e-07,125,4.30156e-10
3.2e-07,1.2e-07,1.2e-07,-40,6.66878e-11
3.2e-07,1.2e-07,1.2e-07,0,7.10589e-11
3.2e-07,1.2e-07,1.2e-07,27,8.16965e-11
3.2e-07,1.2e-07,1.2e-07,85,1.7765e-10
3.2e-07,1.2e-07,1.2e-07,125,3.85396e-10
3.2e-07,1.6e-07,1.2e-07,-40,7.33866e-11
3.2e-07,1.6e-07,1.2e-07,0,7.77711e-11
3.2e-07,1.6e-07,1.2e-07,27,8.83742e-11
3.2e-07,1.6e-07,1.2e-07,85,1.84146e-10
3.2e-07,1.6e-07,1.2e-07,125,3.92324e-10
3.2e-07,2e-07,1.2e-07,-40,8.00842e-11
3.2e-07,2e-07,1.2e-07,0,8.45288e-11
3.2e-07,2e-07,1.2e-07,27,9.52409e-11
3.2e-07,2e-07,1.2e-07,85,1.92327e-10
3.2e-07,2e-07,1.2e-07,125,4.04334e-10
3.2e-07,2.4e-07,1.2e-07,-40,8.67797e-11
3.2e-07,2.4e-07,1.2e-07,0,9.13017e-11
3.2e-07,2.4e-07,1.2e-07,27,1.02177e-10
3.2e-07,2.4e-07,1.2e-07,85,2.01145e-10
3.2e-07,2.4e-07,1.2e-07,125,4.18269e-10
3.2e-07,2.8e-07,1.2e-07,-40,9.34735e-11
3.2e-07,2.8e-07,1.2e-07,0,9.80813e-11
3.2e-07,2.8e-07,1.2e-07,27,1.09145e-10
3.2e-07,2.8e-07,1.2e-07,85,2.10265e-10
3.2e-07,2.8e-07,1.2e-07,125,4.33127e-10
3.2e-07,3.2e-07,1.2e-07,-40,1.00108e-10
3.2e-07,3.2e-07,1.2e-07,0,1.04804e-10
3.2e-07,3.2e-07,1.2e-07,27,1.16072e-10
3.2e-07,3.2e-07,1.2e-07,85,2.19567e-10
3.2e-07,3.2e-07,1.2e-07,125,4.48757e-10
