corner,wn_store,wp_store,wn_access,temp,vdd,leakage_power_W
tt,1.2e-07,2.8e-07,1.2e-07,-40,1,6.39577e-11
tt,1.2e-07,2.8e-07,1.2e-07,-40,1.05,6.71556e-11
tt,1.2e-07,2.8e-07,1.2e-07,-40,1.1,7.03535e-11
tt,1.2e-07,2.8e-07,1.2e-07,-40,1.15,7.35514e-11
tt,1.2e-07,2.8e-07,1.2e-07,-40,1.2,7.67492e-11
tt,1.2e-07,2.8e-07,1.2e-07,0,1,6.67029e-11
tt,1.2e-07,2.8e-07,1.2e-07,0,1.05,7.0038e-11
tt,1.2e-07,2.8e-07,1.2e-07,0,1.1,7.33732e-11
tt,1.2e-07,2.8e-07,1.2e-07,0,1.15,7.67083e-11
tt,1.2e-07,2.8e-07,1.2e-07,0,1.2,8.00435e-11
tt,1.2e-07,2.8e-07,1.2e-07,27,1,7.33667e-11
tt,1.2e-07,2.8e-07,1.2e-07,27,1.05,7.70351e-11
tt,1.2e-07,2.8e-07,1.2e-07,27,1.1,8.07034e-11
tt,1.2e-07,2.8e-07,1.2e-07,27,1.15,8.43717e-11
tt,1.2e-07,2.8e-07,1.2e-07,27,1.2,8.80401e-11
tt,1.2e-07,2.8e-07,1.2e-07,85,1,1.35474e-10
tt,1.2e-07,2.8e-07,1.2e-07,85,1.05,1.42247e-10
tt,1.2e-07,2.8e-07,1.2e-07,85,1.1,1.49021e-10
tt,1.2e-07,2.8e-07,1.2e-07,85,1.15,1.55795e-10
tt,1.2e-07,2.8e-07,1.2e-07,85,1.2,1.62568e-10
tt,1.2e-07,2.8e-07,1.2e-07,125,1,2.74631e-10
tt,1.2e-07,2.8e-07,1.2e-07,125,1.05,2.88363e-10
tt,1.2e-07,2.8e-07,1.2e-07,125,1.1,3.02094e-10
tt,1.2e-07,2.8e-07,1.2e-07,125,1.15,3.15826e-10
tt,1.2e-07,2.8e-07,1.2e-07,125,1.2,3.29557e-10
tt,1.2e-07,3.2e-07,1.2e-07,-40,1,6.9989e-11
tt,1.2e-07,3.2e-07,1.2e-07,-40,1.05,7.34885e-11
tt,1.2e-07,3.2e-07,1.2e-07,-40,1.1,7.69879e-11
tt,1.2e-07,3.2e-07,1.2e-07,-40,1.15,8.04874e-11
tt,1.2e-07,3.2e-07,1.2e-07,-40,1.2,8.39868e-11
tt,1.2e-07,3.2e-07,1.2e-07,0,1,7.28147e-11
tt,1.2e-07,3.2e-07,1.2e-07,0,1.05,7.64554e-11
tt,1.2e-07,3.2e-07,1.2e-07,0,1.1,8.00962e-11
tt,1.2e-07,3.2e-07,1.2e-07,0,1.15,8.37369e-11
tt,1.2e-07,3.2e-07,1.2e-07,0,1.2,8.73776e-11
tt,1.2e-07,3.2e-07,1.2e-07,27,1,7.96644e-11
tt,1.2e-07,3.2e-07,1.2e-07,27,1.05,8.36476e-11
tt,1.2e-07,3.2e-07,1.2e-07,27,1.1,8.76309e-11
tt,1.2e-07,3.2e-07,1.2e-07,27,1.15,9.16141e-11
tt,1.2e-07,3.2e-07,1.2e-07,27,1.2,9.55973e-11
tt,1.2e-07,3.2e-07,1.2e-07,85,1,1.4393e-10
tt,1.2e-07,3.2e-07,1.2e-07,85,1.05,1.51126e-10
tt,1.2e-07,3.2e-07,1.2e-07,85,1.1,1.58323e-10
tt,1.2e-07,3.2e-07,1.2e-07,85,1.15,1.65519e-10
tt,1.2e-07,3.2e-07,1.2e-07,85,1.2,1.72715e-10
tt,1.2e-07,3.2e-07,1.2e-07,125,1,2.8884e-10
tt,1.2e-07,3.2e-07,1.2e-07,125,1.05,3.03282e-10
tt,1.2e-07,3.2e-07,1.2e-07,125,1.1,3.17724e-10
tt,1.2e-07,3.2e-07,1.2e-07,125,1.15,3.32166e-10
tt,1.2e-07,3.2e-07,1.2e-07,125,1.2,3.46608e-10
tt,1.6e-07,1.2e-07,1.2e-07,-40,1,4.38973e-11
tt,1.6e-07,1.2e-07,1.2e-07,-40,1.05,4.60921e-11
tt,1.6e-07,1.2e-07,1.2e-07,-40,1.1,4.8287e-11
tt,1.6e-07,1.2e-07,1.2e-07,-40,1.15,5.04819e-11
tt,1.6e-07,1.2e-07,1.2e-07,-40,1.2,5.26767e-11
tt,1.6e-07,1.2e-07,1.2e-07,0,1,4.68692e-11
tt,1.6e-07,1.2e-07,1.2e-07,0,1.05,4.92127e-11
tt,1.6e-07,1.2e-07,1.2e-07,0,1.1,5.15561e-11
tt,1.6e-07,1.2e-07,1.2e-07,0,1.15,5.38996e-11
tt,1.6e-07,1.2e-07,1.2e-07,0,1.2,5.62431e-11
tt,1.6e-07,1.2e-07,1.2e-07,27,1,5.41627e-11
tt,1.6e-07,1.2e-07,1.2e-07,27,1.05,5.68708e-11
tt,1.6e-07,1.2e-07,1.2e-07,27,1.1,5.95789e-11
tt,1.6e-07,1.2e-07,1.2e-07,27,1.15,6.22871e-11
tt,1.6e-07,1.2e-07,1.2e-07,27,1.2,6.49952e-11
tt,1.6e-07,1.2e-07,1.2e-07,85,1,1.19974e-10
tt,1.6e-07,1.2e-07,1.2e-07,85,1.05,1.25972e-10
tt,1.6e-07,1.2e-07,1.2e-07,85,1.1,1.31971e-10
tt,1.6e-07,1.2e-07,1.2e-07,85,1.15,1.37969e-10
tt,1.6e-07,1.2e-07,1.2e-07,85,1.2,1.43968e-10
tt,1.6e-07,1.2e-07,1.2e-07,125,1,2.62416e-10
tt,1.6e-07,1.2e-07,1.2e-07,125,1.05,2.75537e-10
tt,1.6e-07,1.2e-07,1.2e-07,125,1.1,2.88658e-10
tt,1.6e-07,1.2e-07,1.2e-07,125,1.15,3.01779e-10
tt,1.6e-07,1.2e-07,1.2e-07,125,1.2,3.149e-10
tt,1.6e-07,1.6e-07,1.2e-07,-40,1,4.99872e-11
tt,1.6e-07,1.6e-07,1.2e-07,-40,1.05,5.24866e-11
tt,1.6e-07,1.6e-07,1.2e-07,-40,1.1,5.49859e-11
tt,1.6e-07,1.6e-07,1.2e-07,-40,1.15,5.74853e-11
tt,1.6e-07,1.6e-07,1.2e-07,-40,1.2,5.99846e-11
tt,1.6e-07,1.6e-07,1.2e-07,0,1,5.29713e-11
tt,1.6e-07,1.6e-07,1.2e-07,0,1.05,5.56199e-11
tt,1.6e-07,1.6e-07,1.2e-07,0,1.1,5.82684e-11
tt,1.6e-07,1.6e-07,1.2e-07,0,1.15,6.0917e-11
tt,1.6e-07,1.6e-07,1.2e-07,0,1.2,6.35656e-11
tt,1.6e-07,1.6e-07,1.2e-07,27,1,6.02334e-11
tt,1.6e-07,1.6e-07,1.2e-07,27,1.05,6.32451e-11
tt,1.6e-07,1.6e-07,1.2e-07,27,1.1,6.62567e-11
tt,1.6e-07,1.6e-07,1.2e-07,27,1.15,6.92684e-11
tt,1.6e-07,1.6e-07,1.2e-07,27,1.2,7.22801e-11
tt,1.6e-07,1.6e-07,1.2e-07,85,1,1.25878e-10
tt,1.6e-07,1.6e-07,1.2e-07,85,1.05,1.32172e-10
tt,1.6e-07,1.6e-07,1.2e-07,85,1.1,1.38466e-10
tt,1.6e-07,1.6e-07,1.2e-07,85,1.15,1.4476e-10
tt,1.6e-07,1.6e-07,1.2e-07,85,1.2,1.51054e-10
tt,1.6e-07,1.6e-07,1.2e-07,125,1,2.68715e-10
tt,1.6e-07,1.6e-07,1.2e-07,125,1.05,2.82151e-10
tt,1.6e-07,1.6e-07,1.2e-07,125,1.1,2.95587e-10
