/A X,/A Y
-0.4219999999999999,1.099999918931783
-0.4209999999999999,1.09999991885249
-0.4199999999999999,1.099999918772813
-0.4189999999999999,1.099999918692749
-0.4179999999999999,1.099999918612297
-0.4169999999999999,1.099999918531456
-0.4159999999999999,1.099999918450222
-0.4149999999999999,1.099999918368595
-0.4139999999999999,1.099999918286572
-0.4129999999999999,1.099999918204153
-0.4119999999999999,1.099999918121335
-0.4109999999999999,1.099999918038117
-0.4099999999999999,1.099999917954496
-0.4089999999999999,1.099999917870471
-0.4079999999999999,1.099999917786041
-0.4069999999999999,1.099999917701203
-0.4059999999999999,1.099999917615955
-0.4049999999999999,1.099999917530297
-0.4039999999999999,1.099999917444225
-0.4029999999999999,1.099999917357739
-0.4019999999999999,1.099999917270837
-0.4009999999999999,1.099999917183516
-0.3999999999999999,1.099999917095775
-0.3989999999999999,1.099999917007612
-0.3979999999999999,1.099999916919025
-0.3969999999999999,1.099999916830013
-0.3959999999999999,1.099999916740573
-0.3949999999999999,1.099999916650704
-0.3939999999999999,1.099999916560404
-0.3929999999999999,1.099999916469671
-0.3919999999999999,1.099999916378504
-0.3909999999999999,1.0999999162869
-0.3899999999999999,1.099999916194857
-0.3889999999999999,1.099999916102375
-0.3879999999999999,1.09999991600945
-0.3869999999999999,1.099999915916082
-0.3859999999999999,1.099999915822267
-0.3849999999999999,1.099999915728005
-0.3839999999999999,1.099999915633294
-0.3829999999999999,1.099999915538131
-0.3819999999999999,1.099999915442514
-0.3809999999999999,1.099999915346443
-0.3799999999999999,1.099999915249914
-0.3789999999999999,1.099999915152927
-0.3779999999999999,1.099999915055478
-0.3769999999999999,1.099999914957568
-0.3759999999999999,1.099999914859192
-0.3749999999999999,1.09999991476035
-0.3739999999999999,1.09999991466104
-0.3729999999999999,1.099999914561259
-0.3719999999999999,1.099999914461006
-0.3709999999999999,1.099999914360278
-0.3699999999999999,1.099999914259075
-0.3689999999999999,1.099999914157394
-0.3679999999999999,1.099999914055232
-0.3669999999999999,1.099999913952589
-0.3659999999999999,1.099999913849462
-0.3649999999999999,1.099999913745849
-0.3639999999999999,1.099999913641749
-0.3629999999999999,1.099999913537159
-0.3619999999999999,1.099999913432077
-0.3609999999999999,1.099999913326501
-0.3599999999999999,1.099999913220431
-0.3589999999999999,1.099999913113862
-0.3579999999999999,1.099999913006794
-0.3569999999999999,1.099999912899225
-0.3559999999999999,1.099999912791152
-0.3549999999999999,1.099999912682574
-0.3539999999999999,1.099999912573488
-0.3529999999999999,1.099999912463893
-0.3519999999999999,1.099999912353787
-0.3509999999999999,1.099999912243167
-0.3499999999999999,1.099999912132031
-0.3489999999999999,1.099999912020379
-0.3479999999999999,1.099999911908206
-0.3469999999999999,1.099999911795513
-0.3459999999999999,1.099999911682295
-0.3449999999999999,1.099999911568553
-0.3439999999999999,1.099999911454282
-0.3429999999999999,1.099999911339482
-0.3419999999999999,1.099999911224151
-0.3409999999999999,1.099999911108285
-0.3399999999999999,1.099999910991884
-0.3389999999999999,1.099999910874945
-0.3379999999999999,1.099999910757466
-0.3369999999999999,1.099999910639445
-0.3359999999999999,1.09999991052088
-0.3349999999999999,1.099999910401769
-0.3339999999999999,1.09999991028211
-0.3329999999999999,1.099999910161901
-0.3319999999999999,1.099999910041139
-0.3309999999999998,1.099999909919822
-0.3299999999999998,1.099999909797949
-0.3289999999999998,1.099999909675518
-0.3279999999999998,1.099999909552525
-0.3269999999999998,1.099999909428969
-0.3259999999999998,1.099999909304849
-0.3249999999999998,1.099999909180161
-0.3239999999999998,1.099999909054904
-0.3229999999999998,1.099999908929075
-0.3219999999999998,1.099999908802673
-0.3209999999999998,1.099999908675695
-0.3199999999999998,1.099999908548139
-0.3189999999999998,1.099999908420002
-0.3179999999999998,1.099999908291284
